리뷰,별점
M2 예약후 고민하다가 맥사용이 처음이라 M1으로 결정 했습니다 할인도 하고 맥사용이 처음 걱정도 되고구입후 다음날 3프로 더 할인이 떴네요 구입할실 분들은 23프로 할인할때 구입 하세요.완전 만족 하고 있습니다 좀더 빨리 살거라는 후회도 되고요,100점
"배터리 타임 대박입니다. 충전기 없이 외출이 가능해요.윈도우 노트북과 비교하면 발열이 없는 수준입니다. 덕분에 침대에서, 무릎 위에서, 어디서든 사용할 수 있는 진정한 의미의 랩탑이네요.그리고 맥북이면 데스크테리어도 끝이네요.",100점
11절행사로 127만에 저렴하게 구매했네요가볍고 성능 괜찮은 노트북찾고있었는데m2랑 고민하다 가성비 생각해서 m1모델로 구매했는데만족스럽네요,100점
성능좋고 제품좋고 ~~,100점
쿠폰으로 저렴하게 잘 구매했습니다 배송도 빠르고 발열도 적고 가벼운 작업에는 성능도 차고 넘칠 것 같아요 오래 쓸 것 같아요 ㅋㅋ,100점
"배송이 정말 빨랐어요! 카드할인에 무이자 혜택이 있어서 구매 고민이 적었고, 이중포장으로 잘 도착했습니다! 가볍게 오래 써보고자 m1 512기가로 구매햇습니다!",100점
저녁에 시켰는데 담날 바로 오네요. 엄청난 배송!!! 이번에 신형 나와서 고민 많이 했는데 m1도 아직까진 가성비는 최고인듯 하네요.,100점
배송 빠르구 안전하게 왔어요 누가 훔쳐가지 않아서 다행이네요 ^^;,100점
일요일에 주문했는데 월요일에 왔어요.진짜 넘 빨리 와서 깜짝 놀랬어요. 싸게 잘 구입한거 같아요,100점
배송 빠르구요 가성비는 M1이다 싶어서 뒤늦게 샀지만 만족스럽습니다.,100점
빠른배송 초강추!!!!,100점
배송도 빠르고 좋아요 ㅎㅎ 잘 작동합니다,100점
진짜 빨리오네요. 제품도 최신것이고 정말 최고입니다.,100점
빠른배송으로 잘 받았습니다. 작동 이상 없네요~~,100점
배송도 빠르고 제품도 너무 좋아요,100점
쿠폰 찬스를 활용해서 저렴하게 잘 샀네요.,100점
가성비로 잘 구매한것 같습니다,100점
제품 잘받았습니다.^^,100점
(첫 노트북 구매기)동생이 애플 사용 중인데 여러 장점이 있다 하여계속 알아보다가 가격이 계속 올라 바로 구매함배송: 저녁 10시 반에 구매해서 다음 날 올 줄 일았으니 그 다음 날 오전 도착포장: 전자기기라 걱정했으나 이중포장됨언박싱의 기쁨을 주듯 꼼꼼히 옹윈도우 버전에 익숙해져 있어서 살짝 버벅거리는데 익숙해지면 더 편하다니까 기대하며 사용 중색채감 구동속도 다 좋고 아참! 처음 세팅할 때 충전하면서 와이파이 잡아야 되더라구요현재까지 아주 만족해요많이 파세요:),100점
"좋은 기회, 좋은가격, 좋은제품 아주 만족스러운 구매였습니다.",100점
very good !!,100점
스피커성능도 좋고 여러모로 활용도 최고에요,100점
예쁘고 영롱하고 보기만해도 좋아요,100점
빠르고 안전한 배송 최곱니다,100점
고심 끝에 맥북에어 구매했어요. 실버로 구매했고 제품 깨뜻하게 잘 도착했어요. 예상배송일 지켜주셨고 주말 빼고 3일 정도 걸렸네요.(외부에 있을 일이 많아 예상보다 일찍 와도 걱정이었어요) 박스가 약간 찌그러졌는데 신경쓰일 정도는 아니었고요. 맥유저가 보더니 잘샀다네요. ssd 512까지 필요 없었다고 하는데 처음쓰는거라 혹시나 해서 넉넉하게~ 다양한 악세서리가 필요한데 비싸다는게 단점이지만 제품과는 관계 없으니 생략하고요. 최저가에 잘 샀습니다!,100점
"명불허전 맥북. 품질은 두말할것없이 좋았네요. 특히 언박싱할 때 느낌이 가장 좋았어요. M1맥북답게 쿨링소음 전혀 없고 성능도 좋아서 굉장히 만족합니다. 인터넷강의, 유튜브 등 영상감상 등 가벼운 작업에서는 맥북에어가 짱이네요. 특히 밖에서 윈도우가 필요하면 집에 있는 본체를 맥북으로 원격연결해서 하면 윈도우도 가볍게 사용할 수 있어서 좋아요.",100점
"택배기사님이 늦기는 했지만 재촉하지는 않았습니다 다만, 배송하루전에 배송완료라고 확인이 되는 바람에 놀랐습니다 패드옆에 지워지지 않는 자국이 있고, 자세히봐야 보이는 찍힘자국이 있기는 하지만, 문제 없음. 속도는 예상보다 빠른 편이고, 용량큰거 사길 잘했다 생각이 됩니다",100점
손주가 자율학습 시간에 필요하다고 해서 구매했는데 같은 사양의 일반 노트북보다 맥북이 많이 비싸요.아이폰 사용중이라 비싸도 할수없이 사줬네요.,80점
마음에 들어요!소음없고 발열도 없고너무 만족스럽습니다!사용하는데 매우 쾌적한 느낌이 드네요맥북처음이라배우면서 했는데금방 익숙해졌습니다!우선 음악들을때 너무 좋아요!!,100점
"맥OS 처음 사용하는거라 진퇴양난이긴한데, 그래도 좋습니다! 소음 전혀 없고, 발열도 거의 없어서 사용하기 좋습니다. 배송도 생각보다 빨리와서 너무 좋았습니다!",100점
배송 예정일이 6/30 이라고해서 천천히 기다리려고 했는데 하루만에 깜짝배송되서 제가 쓰려고 산건데 선물받은 기분이네요 감사합니다~,100점
배송 안전하게 와서 만족스럽습니다! 제품은 설명할게없을것 같네용^^,100점
m1 역시 최곱니다조용하고 성능확실하고 발열없고 굿,100점
배송이 정말 빠르고 제품 상태도 훌륭합니다!,100점
맥북은 사랑입니다 가격도좋은 에어,100점
맥북 첨 써보는데 적응 잘해서 잘쓰겟습니다,80점
구매확정하고 이튿날에 물건 배송해주셔서 빨리받았습니다 감사합니다,100점
잘 받았습니다.아들 대학입학 선물로 구매했어요,100점
빠른 배송 감사합니다~ 청구할인까지 받아서 싸게 샀어요!,100점
배송도 매우 빠르고 만족합ㄴ다,100점
소음없고 키터치감등 만족합니다.,100점
새로 나온 맥북 최고입니다.,100점
아들주려고 구매했는데 괜찮아요,100점
미국유학가는 조카에게 선물했어요.,100점
좋아요 추천합니다 ㅎㅎㅎ,100점
빠른 배송으로 받인서 좋습니다,100점
오래 기다렸지만 좋습니다 맘에들어요 ㅎ,100점
제품 잘받았습니다. 빠른배송 감사합니다.,100점
잘 쓸게요!,100점
안전하게 잘 왔어요:),100점
배송이빨라요,100점
도대체 왜 도착도 안했는데 배송완료라고 뜨는건지? 배송완료라고 뜨고나서 하루뒤에 옴,80점
잘잗았습니다,100점
배송 잘 받았습니다 감사합니다,100점
정말 빨리 도착했어요! 감사합니다,100점
